CVE,DESCRIP
1,Un año de escolaridad
2,Dos años de escolaridad
3,Tres años de escolaridad
4,Cuatro años de escolaridad
5,Cinco años de escolaridad
6,Seis años de escolaridad
7,Siete años de escolaridad
8,Ocho años de escolaridad
9,Nueve años de escolaridad
10,Diez años de escolaridad
11,Once años de escolaridad
12,Doce años de escolaridad
13,Trece años de escolaridad
14,Catorce años de escolaridad
15,Quince años de escolaridad
16,Dieciséis años de escolaridad
17,Diecisiste años de escolaridad
18,Dieciocho años de escolaridad
19,Diecinueve años de escolaridad
20,Veinte años de escolaridad
21,Veintiuno años de escolaridad
22,Veintidos años de escolaridad
23,Veintitres años de escolaridad
24,Veinticuatro años de escolaridad
99,No especificado
