CVE,DESCRIP
1,1 hora trabajada durante la semana
2,2 horas trabajadas durante la semana
3,3 horas trabajadas durante la semana
4,4 horas trabajadas durante la semana
5,5 horas trabajadas durante la semana
6,6 horas trabajadas durante la semana
7,7 horas trabajadas durante la semana
8,8 horas trabajadas durante la semana
9,9 horas trabajadas durante la semana
10,10 horas trabajadas durante la semana
11,11 horas trabajadas durante la semana
12,12 horas trabajadas durante la semana
13,13 horas trabajadas durante la semana
14,14 horas trabajadas durante la semana
15,15 horas trabajadas durante la semana
16,16 horas trabajadas durante la semana
17,17 horas trabajadas durante la semana
18,18 horas trabajadas durante la semana
19,19 horas trabajadas durante la semana
20,20 horas trabajadas durante la semana
21,21 horas trabajadas durante la semana
22,22 horas trabajadas durante la semana
23,23 horas trabajadas durante la semana
24,24 horas trabajadas durante la semana
25,25 horas trabajadas durante la semana
26,26 horas trabajadas durante la semana
27,27 horas trabajadas durante la semana
28,28 horas trabajadas durante la semana
29,29 horas trabajadas durante la semana
30,30 horas trabajadas durante la semana
31,31 horas trabajadas durante la semana
32,32 horas trabajadas durante la semana
33,33 horas trabajadas durante la semana
34,34 horas trabajadas durante la semana
35,35 horas trabajadas durante la semana
36,36 horas trabajadas durante la semana
37,37 horas trabajadas durante la semana
38,38 horas trabajadas durante la semana
39,39 horas trabajadas durante la semana
40,40 horas trabajadas durante la semana
41,41 horas trabajadas durante la semana
42,42 horas trabajadas durante la semana
43,43 horas trabajadas durante la semana
44,44 horas trabajadas durante la semana
45,45 horas trabajadas durante la semana
46,46 horas trabajadas durante la semana
47,47 horas trabajadas durante la semana
48,48 horas trabajadas durante la semana
49,49 horas trabajadas durante la semana
50,50 horas trabajadas durante la semana
51,51 horas trabajadas durante la semana
52,52 horas trabajadas durante la semana
53,53 horas trabajadas durante la semana
54,54 horas trabajadas durante la semana
55,55 horas trabajadas durante la semana
56,56 horas trabajadas durante la semana
57,57 horas trabajadas durante la semana
58,58 horas trabajadas durante la semana
59,59 horas trabajadas durante la semana
60,60 horas trabajadas durante la semana
61,61 horas trabajadas durante la semana
62,62 horas trabajadas durante la semana
63,63 horas trabajadas durante la semana
64,64 horas trabajadas durante la semana
65,65 horas trabajadas durante la semana
66,66 horas trabajadas durante la semana
67,67 horas trabajadas durante la semana
68,68 horas trabajadas durante la semana
69,69 horas trabajadas durante la semana
70,70 horas trabajadas durante la semana
71,71 horas trabajadas durante la semana
72,72 horas trabajadas durante la semana
73,73 horas trabajadas durante la semana
74,74 horas trabajadas durante la semana
75,75 horas trabajadas durante la semana
76,76 horas trabajadas durante la semana
77,77 horas trabajadas durante la semana
78,78 horas trabajadas durante la semana
79,79 horas trabajadas durante la semana
80,80 horas trabajadas durante la semana
81,81 horas trabajadas durante la semana
82,82 horas trabajadas durante la semana
83,83 horas trabajadas durante la semana
84,84 horas trabajadas durante la semana
85,85 horas trabajadas durante la semana
86,86 horas trabajadas durante la semana
87,87 horas trabajadas durante la semana
88,88 horas trabajadas durante la semana
89,89 horas trabajadas durante la semana
90,90 horas trabajadas durante la semana
91,91 horas trabajadas durante la semana
92,92 horas trabajadas durante la semana
93,93 horas trabajadas durante la semana
94,94 horas trabajadas durante la semana
95,95 horas trabajadas durante la semana
96,96 horas trabajadas durante la semana
97,97 horas trabajadas durante la semana
98,98 horas trabajadas durante la semana
99,99 horas trabajadas durante la semana
100,100 horas trabajadas durante la semana
101,101 horas trabajadas durante la semana
102,102 horas trabajadas durante la semana
103,103 horas trabajadas durante la semana
104,104 horas trabajadas durante la semana
105,105 horas trabajadas durante la semana
106,106 horas trabajadas durante la semana
107,107 horas trabajadas durante la semana
108,108 horas trabajadas durante la semana
109,109 horas trabajadas durante la semana
110,110 horas trabajadas durante la semana
111,111 horas trabajadas durante la semana
112,112 horas trabajadas durante la semana
113,113 horas trabajadas durante la semana
114,114 horas trabajadas durante la semana
115,115 horas trabajadas durante la semana
116,116 horas trabajadas durante la semana
117,117 horas trabajadas durante la semana
118,118 horas trabajadas durante la semana
119,119 horas trabajadas durante la semana
120,120 horas trabajadas durante la semana
121,121 horas trabajadas durante la semana
122,122 horas trabajadas durante la semana
123,123 horas trabajadas durante la semana
124,124 horas trabajadas durante la semana
125,125 horas trabajadas durante la semana
126,126 horas trabajadas durante la semana
127,127 horas trabajadas durante la semana
128,128 horas trabajadas durante la semana
129,129 horas trabajadas durante la semana
130,130 horas trabajadas durante la semana
131,131 horas trabajadas durante la semana
132,132 horas trabajadas durante la semana
133,133 horas trabajadas durante la semana
134,134 horas trabajadas durante la semana
135,135 horas trabajadas durante la semana
136,136 horas trabajadas durante la semana
137,137 horas trabajadas durante la semana
138,138 horas trabajadas durante la semana
139,139 horas trabajadas durante la semana
140,140 horas trabajadas durante la semana
141,141 horas trabajadas durante la semana
142,142 horas trabajadas durante la semana
143,143 horas trabajadas durante la semana
144,144 horas trabajadas durante la semana
145,145 horas trabajadas durante la semana
146,146 horas trabajadas durante la semana
147,147 horas trabajadas durante la semana
148,148 horas trabajadas durante la semana
149,149 horas trabajadas durante la semana
150,150 horas trabajadas durante la semana
151,151 horas trabajadas durante la semana
152,152 horas trabajadas durante la semana
153,153 horas trabajadas durante la semana
154,154 horas trabajadas durante la semana
155,155 horas trabajadas durante la semana
156,156 horas trabajadas durante la semana
157,157 horas trabajadas durante la semana
158,158 horas trabajadas durante la semana
159,159 horas trabajadas durante la semana
160,160 horas trabajadas durante la semana
161,161 horas trabajadas durante la semana
162,162 horas trabajadas durante la semana
163,163 horas trabajadas durante la semana
164,164 horas trabajadas durante la semana
165,165 horas trabajadas durante la semana
166,166 horas trabajadas durante la semana
167,167 horas trabajadas durante la semana
168,168 horas trabajadas durante la semana
