CVE,DESCRIP
1915,Año de nacimiento
1917,Año de nacimiento
1919,Año de nacimiento
1920,Año de nacimiento
1921,Año de nacimiento
1922,Año de nacimiento
1923,Año de nacimiento
1924,Año de nacimiento
1925,Año de nacimiento
1926,Año de nacimiento
1927,Año de nacimiento
1928,Año de nacimiento
1929,Año de nacimiento
1930,Año de nacimiento
1931,Año de nacimiento
1932,Año de nacimiento
1933,Año de nacimiento
1934,Año de nacimiento
1935,Año de nacimiento
1936,Año de nacimiento
1937,Año de nacimiento
1938,Año de nacimiento
1939,Año de nacimiento
1940,Año de nacimiento
1941,Año de nacimiento
1942,Año de nacimiento
1943,Año de nacimiento
1944,Año de nacimiento
1945,Año de nacimiento
1946,Año de nacimiento
1947,Año de nacimiento
1948,Año de nacimiento
1949,Año de nacimiento
1950,Año de nacimiento
1951,Año de nacimiento
1952,Año de nacimiento
1953,Año de nacimiento
1954,Año de nacimiento
1955,Año de nacimiento
1956,Año de nacimiento
1957,Año de nacimiento
1958,Año de nacimiento
1959,Año de nacimiento
1960,Año de nacimiento
1961,Año de nacimiento
1962,Año de nacimiento
1963,Año de nacimiento
1964,Año de nacimiento
1965,Año de nacimiento
1966,Año de nacimiento
1967,Año de nacimiento
1968,Año de nacimiento
1969,Año de nacimiento
1970,Año de nacimiento
1971,Año de nacimiento
1972,Año de nacimiento
1973,Año de nacimiento
1974,Año de nacimiento
1975,Año de nacimiento
1976,Año de nacimiento
1977,Año de nacimiento
1978,Año de nacimiento
1979,Año de nacimiento
1980,Año de nacimiento
1981,Año de nacimiento
1982,Año de nacimiento
1983,Año de nacimiento
1984,Año de nacimiento
1985,Año de nacimiento
1986,Año de nacimiento
1987,Año de nacimiento
1988,Año de nacimiento
1989,Año de nacimiento
1990,Año de nacimiento
1991,Año de nacimiento
1992,Año de nacimiento
1993,Año de nacimiento
1994,Año de nacimiento
1995,Año de nacimiento
1996,Año de nacimiento
1997,Año de nacimiento
1998,Año de nacimiento
1999,Año de nacimiento
2000,Año de nacimiento
2001,Año de nacimiento
2002,Año de nacimiento
2003,Año de nacimiento
2004,Año de nacimiento
2005,Año de nacimiento
2006,Año de nacimiento
2007,Año de nacimiento
2008,Año de nacimiento
2009,Año de nacimiento
2010,Año de nacimiento
2011,Año de nacimiento
2012,Año de nacimiento
2013,Año de nacimiento
2014,Año de nacimiento
2015,Año de nacimiento
2016,Año de nacimiento
2017,Año de nacimiento
2018,Año de nacimiento
2019,Año de nacimiento
2020,Año de nacimiento
2021,Año de nacimiento
2022,Año de nacimiento
9999,No especificado
